MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Jan 30, 2020 - LAC vs. SAC",L,48,103,35,92,38.0,13,31,41.9,20,25,80.0,11,28,39,26,15,6,6,20
"Jan 26, 2020 - LAC @ ORL",W,48,112,37,79,46.8,13,30,43.3,25,29,86.2,12,41,53,20,18,2,7,26
"Jan 24, 2020 - LAC @ MIA",W,48,122,43,94,45.7,16,35,45.7,20,23,87.0,11,37,48,33,9,5,3,21
"Jan 22, 2020 - LAC @ ATL",L,48,95,33,78,42.3,4,21,19.0,25,39,64.1,8,37,45,19,14,5,8,20
"Jan 21, 2020 - LAC @ DAL",W,48,110,36,97,37.1,12,38,31.6,26,33,78.8,20,37,57,19,11,9,3,21
"Jan 18, 2020 - LAC @ NOP",W,48,133,46,93,49.5,10,31,32.3,31,39,79.5,10,26,36,22,12,12,2,29
"Jan 16, 2020 - LAC vs. ORL",W,48,122,47,95,49.5,14,32,43.8,14,20,70.0,10,49,59,29,10,4,4,17
"Jan 14, 2020 - LAC vs. CLE",W,48,128,49,94,52.1,15,38,39.5,15,21,71.4,14,39,53,29,11,7,8,12
"Jan 12, 2020 - LAC @ DEN",L,48,104,38,84,45.2,8,33,24.2,20,26,76.9,10,32,42,21,14,8,5,26
"Jan 10, 2020 - LAC vs. GSW",W,48,109,41,84,48.8,11,39,28.2,16,22,72.7,9,45,54,27,19,5,7,24
"Jan 05, 2020 - LAC vs. NYK",W,48,135,45,83,54.2,18,32,56.3,27,33,81.8,10,32,42,25,19,4,3,27
"Jan 04, 2020 - LAC vs. MEM",L,48,114,45,101,44.6,7,30,23.3,17,22,77.3,14,35,49,20,13,3,1,22
"Jan 02, 2020 - LAC vs. DET",W,48,126,50,92,54.3,11,28,39.3,15,21,71.4,11,40,51,29,15,6,11,22
"Dec 31, 2019 - LAC @ SAC",W,48,105,36,88,40.9,12,36,33.3,21,22,95.5,14,37,51,21,12,9,2,17
"Dec 28, 2019 - LAC vs. UTA",L,48,107,35,95,36.8,12,40,30.0,25,27,92.6,16,30,46,22,8,9,4,18
"Dec 25, 2019 - LAC @ LAL",W,48,111,39,85,45.9,9,25,36.0,24,32,75.0,13,37,50,24,16,6,6,17
"Dec 22, 2019 - LAC @ OKC",L,48,112,40,86,46.5,11,27,40.7,21,24,87.5,10,32,42,22,17,7,2,23
"Dec 21, 2019 - LAC @ SAS",W,48,134,54,99,54.5,12,36,33.3,14,19,73.7,13,30,43,32,12,11,2,19
"Dec 19, 2019 - LAC vs. HOU",L,48,117,43,86,50.0,16,37,43.2,15,19,78.9,7,31,38,23,18,10,7,24
"Dec 17, 2019 - LAC vs. PHX",W,48,120,45,89,50.6,14,32,43.8,16,22,72.7,6,38,44,23,16,14,4,15
"Dec 14, 2019 - LAC @ CHI",L,48,106,35,80,43.8,10,22,45.5,26,36,72.2,8,32,40,20,15,9,4,17
"Dec 13, 2019 - LAC @ MIN",W,48,124,39,79,49.4,11,25,44.0,35,39,89.7,8,37,45,16,19,5,2,30
"Dec 11, 2019 - LAC @ TOR",W,48,112,38,86,44.2,12,40,30.0,24,27,88.9,12,38,50,29,18,8,5,21
"Dec 09, 2019 - LAC @ IND",W,48,110,40,97,41.2,10,32,31.3,20,27,74.1,11,45,56,19,11,7,7,16
"Dec 08, 2019 - LAC @ WAS",W,48,135,50,96,52.1,15,40,37.5,20,27,74.1,9,36,45,27,12,8,4,26
"Dec 06, 2019 - LAC @ MIL",L,48,91,33,94,35.1,8,32,25.0,17,19,89.5,12,36,48,18,21,9,4,19
"Dec 03, 2019 - LAC vs. POR",W,48,117,43,94,45.7,17,34,50.0,14,25,56.0,11,38,49,25,11,7,3,15
"Dec 01, 2019 - LAC vs. WAS",W,48,150,52,94,55.3,14,32,43.8,32,40,80.0,10,42,52,22,17,8,5,25
"Nov 29, 2019 - LAC @ SAS",L,48,97,36,92,39.1,12,33,36.4,13,13,100,9,39,48,23,15,6,5,17
"Nov 27, 2019 - LAC @ MEM",W,48,121,44,95,46.3,14,41,34.1,19,25,76.0,13,30,43,30,16,11,6,24
"Nov 26, 2019 - LAC @ DAL",W,48,114,41,97,42.3,11,33,33.3,21,30,70.0,17,39,56,22,14,12,3,27
"Nov 24, 2019 - LAC vs. NOP",W,48,134,46,98,46.9,16,43,37.2,26,33,78.8,16,40,56,27,8,4,5,21
"Nov 22, 2019 - LAC vs. HOU",W,48,122,45,87,51.7,13,33,39.4,19,24,79.2,10,37,47,27,19,9,4,32
"Nov 20, 2019 - LAC vs. BOS",W,53,107,39,93,41.9,17,45,37.8,12,16,75.0,14,39,53,26,23,12,9,18
